순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,손아섭,NC,0.339,140,609,551,97,187,36,3,5,244,65,1,5
2,구자욱,삼성,0.336,119,515,453,65,152,37,1,11,224,71,2,3
3,김혜성,키움,0.335,137,621,556,104,186,29,6,7,248,57,0,5
4,홍창기,LG,0.332,141,643,524,109,174,35,2,1,216,65,3,6
5,에레디아,SSG,0.323,122,523,473,76,153,29,0,12,218,76,1,1
6,김선빈,KIA,0.32,119,473,419,41,134,16,0,0,150,48,8,3
7,박건우,NC,0.319,130,533,458,70,146,34,2,12,220,85,1,9
8,박민우,NC,0.316,124,509,452,76,143,20,7,2,183,46,5,3
9,오스틴,LG,0.313,139,583,520,87,163,29,4,23,269,95,0,7
10,전준우,롯데,0.312,138,559,493,80,154,21,3,17,232,77,0,7
11,양의지,두산,0.305,129,510,439,56,134,23,0,17,208,68,0,3
12,최형우,KIA,0.302,121,508,431,64,130,27,1,17,210,81,0,4
13,박찬호,KIA,0.301,130,507,452,73,136,18,4,3,171,52,7,6
14,문보경,LG,0.301,131,542,469,77,141,29,5,10,210,72,9,4
15,노시환,한화,0.298,131,595,514,85,153,30,1,31,278,101,0,3
16,최정,SSG,0.297,128,552,471,94,140,31,0,29,258,87,1,6
17,김민혁,KT,0.297,113,448,397,68,118,20,3,3,153,41,7,5
18,황재균,KT,0.295,109,457,407,62,120,26,2,6,168,49,3,1
19,문성주,LG,0.294,136,534,449,77,132,21,4,2,167,57,6,4
20,김현수,LG,0.293,133,556,488,53,143,22,2,6,187,88,1,8
21,안치홍,롯데,0.292,121,494,425,57,124,20,1,8,170,63,5,5
22,강민호,삼성,0.29,125,495,434,60,126,19,0,16,193,77,1,5
23,알포드,KT,0.289,133,547,491,83,142,31,3,15,224,70,0,3
24,장성우,KT,0.288,131,464,410,37,118,22,0,11,173,65,3,7
25,정수빈,두산,0.287,137,583,498,75,143,14,11,2,185,33,12,2
26,피렐라,삼성,0.285,139,605,557,66,159,28,1,16,237,80,0,2
27,소크라테스,KIA,0.285,142,608,547,91,156,31,3,20,253,96,0,8
28,박해민,LG,0.285,144,558,485,80,138,14,2,6,174,59,24,1
29,박병호,KT,0.283,132,493,431,53,122,15,0,18,191,87,0,8
30,마틴,NC,0.283,118,503,435,55,123,20,2,17,198,90,0,10
31,양석환,두산,0.281,140,582,524,73,147,28,0,21,238,89,0,11
32,김현준,삼성,0.275,109,479,433,62,119,10,6,3,150,46,8,3
33,김상수,KT,0.271,129,512,443,58,120,19,1,3,150,56,8,3
34,최지훈,SSG,0.268,117,503,462,65,124,19,8,2,165,30,8,1
35,류지혁,삼성,0.268,132,522,455,63,122,11,1,2,141,45,10,5
36,허경민,두산,0.268,130,475,429,44,115,23,1,7,161,48,0,5
37,오지환,LG,0.268,126,502,422,65,113,24,3,8,167,62,4,4
38,문현빈,한화,0.266,137,481,428,47,114,22,2,5,155,49,9,5
39,박성한,SSG,0.266,128,529,459,53,122,19,0,9,168,47,7,4
40,강승호,두산,0.265,127,459,419,51,111,18,6,7,162,59,4,3
41,채은성,한화,0.263,137,596,521,71,137,17,0,23,223,84,0,3
42,김민석,롯데,0.255,129,454,400,53,102,24,0,3,135,39,12,5
43,추신수,SSG,0.254,112,462,382,65,97,17,1,12,152,41,0,2
44,로하스,두산,0.253,122,464,403,52,102,24,4,19,191,65,0,3
45,박동원,LG,0.249,130,481,409,54,102,17,1,20,181,75,8,8
46,이재현,삼성,0.249,143,538,458,61,114,19,2,12,173,60,16,6
47,최주환,SSG,0.235,134,478,426,48,100,24,0,20,184,63,1,3
48,김주원,NC,0.233,127,474,403,56,94,9,2,10,137,54,8,4
49,정은원,한화,0.222,122,459,388,50,86,12,0,2,104,30,5,1
50,김재환,두산,0.22,132,484,405,40,89,15,0,10,134,46,0,2